Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
Toyota,Used,Diesel,1,Prado,2100000,Karachi,Cash,1997
Suzuki,Used,Petrol,100000,Bolan,380000,Karachi,Cash,2006
Suzuki,Used,CNG,12345,Bolan,340000,Karachi,Cash,1998
Suzuki,Used,Petrol,94000,Alto,535000,Karachi,Cash,2010
Toyota,Used,Petrol,100000,Corolla XLI,1430000,Karachi,Cash,2013
Toyota,Used,Petrol,80000,Corrolla Altis,1620000,Karachi,Cash,2012
Suzuki,New,CNG,65000,Cultus VXL,450000,Karachi,Cash,2006
Toyota,New,Petrol,10241,Corrolla Altis,2900000,Karachi,Cash,2017
Suzuki,Used,CNG,83000,Alto,490000,Karachi,Cash,2009
Honda,Used,Petrol,1,Civic VTi,480000,Karachi,Cash,1997
Suzuki,Used,CNG,123,Khyber,230000,Karachi,Cash,1994
Suzuki,Used,CNG,73000,Liana,535000,Karachi,Cash,2006
Toyota,Used,Petrol,78000,Passo,770000,Karachi,Cash,2006
Honda,Used,Petrol,1,Civic Prosmetic,490000,Karachi,Cash,1997
Honda,Used,CNG,170000,Civic EXi,160000,Karachi,Cash,1984
Suzuki,Used,Petrol,200000,Alto,425000,Karachi,Cash,2005
Daihatsu,Used,Petrol,100000,Charade,180000,Karachi,Cash,1988
Mitsubishi,Used,Petrol,82000,Pajero Mini,520000,Karachi,Cash,1995
Suzuki,Used,CNG,10000,Margalla,400000,Karachi,Cash,1990
Honda,Used,Petrol,69500,City IVTEC,1400000,Karachi,Cash,2014
Suzuki,Used,CNG,10000,Khyber,175000,Karachi,Cash,1989
KIA,Used,CNG,123456,Classic,120000,Karachi,Cash,2001
Honda,Used,CNG,87611,Civic EXi,590000,Karachi,Cash,2000
Honda,Used,Hybrid,19000,Other,425000,Karachi,Cash,1995
Honda,Used,CNG,99000,Civic EXi,685000,Karachi,Cash,2005
Suzuki,Used,CNG,88000,Alto,465000,Karachi,Cash,2007
Toyota,Used,Petrol,75000,Corolla GLI,1190000,Karachi,Cash,2010
Other Brands,Used,Petrol,124000,Other,850000,Karachi,Cash,2010
Suzuki,Used,CNG,76000,Cultus VXR,370000,Karachi,Cash,2002
Nissan,New,Petrol,47000,Dayz Highway Star,1175000,Karachi,Cash,2013
Toyota,New,Petrol,43000,Corolla XLI,1675000,Karachi,Cash,2015
Suzuki,Used,CNG,3875,Mehran VX,195000,Karachi,Cash,1999
Suzuki,Used,CNG,98000,Mehran VX,165000,Karachi,Cash,1991
Suzuki,Used,Petrol,1000,Alto,420000,Karachi,Cash,2006
Toyota,Used,Petrol,39000,Vitz,1430000,Karachi,Cash,2014
Suzuki,Used,CNG,127000,Mehran VXR,150000,Karachi,Cash,1991
Suzuki,Used,LPG,786,Carry,130000,Karachi,Cash,1982
Suzuki,Used,CNG,70,Cultus VXR,415000,Karachi,Cash,2004
Suzuki,Used,CNG,99999,Mehran VX,185000,Karachi,Cash,1997
Toyota,Used,Petrol,89000,Passo,1040000,Karachi,Cash,2010
