latitude,longitude,city,name,category
36.1435436551,-115.13741277,Las Vegas,McDonald's,Fast Food
40.4325714,-79.8937279,Pittsburgh,The Green Mango Noodle Hut,Thai
36.041101,-115.12046,Las Vegas,Chopstix,Chinese
36.1008769,-115.2445968,Las Vegas,Tasty BBQ Kitchen,Chinese
36.1817194,-115.1394247,Las Vegas,La Piazza,Italian
36.0717181212,-115.243497734,Las Vegas,Roberto's Taco Shop,Mexican
36.1292348139,-115.092560537,Las Vegas,Antojos la Güera Mexican Grill,Mexican
36.1800515,-115.1775289,Las Vegas,Burger King,Fast Food
40.439176,-80.071117,Pittsburgh,Chan An Restaurant,Chinese
36.07097,-115.243522,Las Vegas,3 Tomatoes and A Mozzarella,Italian
40.4557916164,-80.161762102,Pittsburgh,Jose' Ole' Mexican Grill,Mexican
36.1713222,-115.2448862,Las Vegas,Thai Taste,Thai
41.3834820256,-81.7352918628,Cleveland,Antonio's,Italian
36.1004737,-115.2963126,Las Vegas,Jack in the Box,Fast Food
36.1585873,-115.0779796,Las Vegas,Burger King,Fast Food
36.1254542,-115.196476,Las Vegas,The Little Kitchen Cafe,Chinese
40.4613503,-79.9481126,Pittsburgh,Rocky's,Italian
36.114987,-115.2410939,Las Vegas,Roberto's Taco Shop,Fast Food
40.514962,-80.000658,Pittsburgh,Rico's Restaurant,Italian
36.1090109,-115.1538512,Las Vegas,LTO Pizza & More,Italian
36.2714829,-115.2605999,Las Vegas,Brothers Italian Bistro,Italian
36.2030128,-115.2415806,Las Vegas,Teriyaki Brother,Fast Food
40.455916,-79.979271,Pittsburgh,Spaghetti Warehouse,Italian
36.171184,-115.211622,Las Vegas,Tinoco's Bistro,Italian
36.1000163,-115.1285285,Las Vegas,Carluccio's Tivoli Gardens,Italian
36.2030023756,-115.241583308,Las Vegas,BaBa's Chinese Kitchen,Chinese
40.4375839233,-80.0004425049,Pittsburgh,Vicky's Mexican Restaurant,Mexican
36.102015,-115.2965319,Las Vegas,Sushi House Manda,Japanese
36.1459162455,-115.333510378,Las Vegas,Panda Express,Chinese
36.1087848,-115.1370794,Las Vegas,Cafe Hookah,Mediterranean
41.4007245,-81.5956779,Cleveland,Don Tequila Mexican Restaurant,Mexican
40.4852541,-79.9259754,Pittsburgh,Eddie's Pizza Haus,Italian
36.0553391,-115.2259983,Las Vegas,Subway,Fast Food
41.3511873,-81.685712,Cleveland,Great Wall of China,Chinese
36.1254511206,-115.196473002,Las Vegas,The Little Kitchen Cafe,Chinese
36.1757303,-115.2910289,Las Vegas,Spiedini Ristorante,Italian
36.1150195,-115.1196411,Las Vegas,Carl's Jr.,Fast Food
36.1703435,-115.1415626,Las Vegas,Thai Vegas,Thai
36.0843559,-115.279599,Las Vegas,Jr's Place,Italian
36.1004135,-115.1851022,Las Vegas,Wendy's,Fast Food
36.1004788,-115.3143212,Las Vegas,Subway,Fast Food
40.3948843,-80.0346894,Pittsburgh,Amazing Wok,Chinese
36.1153521,-115.2245118,Las Vegas,Red Shrimp Company,Chinese
36.1430817,-115.2536257,Las Vegas,Lilly's Thai & Vietnamese Restaurant,Thai
36.1595453,-115.2309619,Las Vegas,Tacos Los Toritos,Mexican
36.1677598557,-115.138316983,Las Vegas,Pork & Beans,Fast Food
36.1879385,-115.1166004,Las Vegas,Los Molcajetes,Mexican
36.1441542,-115.196028,Las Vegas,Thai Express @ Sahara,Thai
36.218985,-115.093035,Las Vegas,Siam Garden,Thai
40.4264892842,-79.9657487869,Pittsburgh,QDOBA Mexican Eats,Mexican
