stars,name
5.0,Sushi House Manda
5.0,Sushi House Manda
5.0,Sushi House Manda
5.0,Sushi House Manda
1.0,Vicky's Mexican Restaurant
5.0,Vicky's Mexican Restaurant
5.0,Vicky's Mexican Restaurant
3.0,Vicky's Mexican Restaurant
4.0,Vicky's Mexican Restaurant
1.0,Vicky's Mexican Restaurant
3.0,Vicky's Mexican Restaurant
4.0,Vicky's Mexican Restaurant
5.0,Vicky's Mexican Restaurant
3.0,Burger King
3.0,Burger King
2.0,Burger King
4.0,Pork & Beans
3.0,Pork & Beans
4.0,Pork & Beans
2.0,Pork & Beans
5.0,Pork & Beans
2.0,Pork & Beans
4.0,Pork & Beans
2.0,Pork & Beans
5.0,Pork & Beans
2.0,Pork & Beans
2.0,Pork & Beans
2.0,Pork & Beans
2.0,Pork & Beans
4.0,Pork & Beans
2.0,Pork & Beans
4.0,Pork & Beans
2.0,Pork & Beans
2.0,Pork & Beans
1.0,Pork & Beans
4.0,Pork & Beans
4.0,Pork & Beans
2.0,Pork & Beans
2.0,Pork & Beans
3.0,Pork & Beans
2.0,Pork & Beans
3.0,Spiedini Ristorante
1.0,Spiedini Ristorante
3.0,Spiedini Ristorante
2.0,Spiedini Ristorante
1.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
2.0,Spiedini Ristorante
3.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
1.0,Spiedini Ristorante
2.0,Spiedini Ristorante
2.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
4.0,Spiedini Ristorante
3.0,Spiedini Ristorante
4.0,Spiedini Ristorante
5.0,Spiedini Ristorante
2.0,Spiedini Ristorante
1.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
4.0,Spiedini Ristorante
5.0,Spiedini Ristorante
1.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
4.0,Spiedini Ristorante
1.0,Spiedini Ristorante
3.0,Spiedini Ristorante
3.0,Spiedini Ristorante
5.0,Spiedini Ristorante
2.0,Spiedini Ristorante
2.0,Spiedini Ristorante
5.0,Spiedini Ristorante
5.0,Spiedini Ristorante
4.0,Spiedini Ristorante
2.0,Spiedini Ristorante
5.0,Spiedini Ristorante
2.0,Spiedini Ristorante
5.0,Spiedini Ristorante
3.0,Spiedini Ristorante
2.0,Spiedini Ristorante
2.0,Spiedini Ristorante
2.0,Spiedini Ristorante
3.0,Spiedini Ristorante
1.0,Spiedini Ristorante
1.0,Spiedini Ristorante
2.0,Spiedini Ristorante
4.0,Spiedini Ristorante
